Key,Type,Desc,English,Russian,German,Chinese (Simplified),Chinese (Traditional),French,Portuguese (Brazil),Korean,Japanese,Italian,Turkish,Arabic,Swedish,Norwegian,Danish,Polish,Spanish,Finnish,Dutch (Netherlands),Portuguese,Greek,Hungarian,Romanian,Bulgariaa,Thai,Czech,Ukrainian
OPTIONS,Text,,OPTIONS,НАСТРОЙКИ,OPTIONEN,选项,選項,OPTIONS,OPÇÕES,옵션,オプション,OPZIONI,SEçENEKLER,خيارات,ALTERNATIV,ALTERNATIVER,MULIGHEDER,OPCJE,OPCIONES,ASETUKSET,OPTIES,OPÇÕES,[i2auto]ΕΠΙΛΟΓΈΣ,[i2auto]OPCIÓK,[i2auto]OPTIUNI,[i2auto]ВАРИАНТИ,[i2auto]ตัวเลือก,[i2auto]VOLBY,[i2auto]ВАРІАНТИ
CLOSE,Text,,CLOSE,ЗАКРЫТЬ,SCHLIEßEN,关闭,關閉,FERMER,FECHAR,닫기,閉じる,CHIUDERE,KAPAT,أغلق,STäNG,LUKKE,LUK,ZAMKNIJ,CERRAR,SULJE,SLUIT,FECHAR,[i2auto]ΚΟΝΤΆ,[i2auto]KÖZEL,[i2auto]ÎNCHIDE,[i2auto]БЛИЗО,[i2auto]ใกล้,[i2auto]ZAVŘÍT,[i2auto]БЛИЗЬКО
GRAPHICS OPTIONS,Text,,GRAPHICS OPTIONS,ГРАФИКА,GRAFIKOPTIONEN,图形选项,圖形選項,OPTIONS GRAPHIQUES,OPÇOES DE VIDEO,그래픽 옵션,グラフィックスオプション,OPZIONI GRAFICHE,GRAFIK SEÇENEKLERI,خيارات الرسومات,GRAFIK ALTERNATIV,GRAFIKK ALTERNATIVER,GRAFISKE MULIGHEDER,OPCJE GRAFICZNE,OPCIONES DE GRAFICOS,GRAFIIKKA-ASETUKSET,GRAFISCHE OPTIES,OPÇÕES DE GRÁFICOS,[i2auto]ΕΠΙΛΟΓΈΣ ΓΡΑΦΙΚΏΝ,[i2auto]OPTIONS GRAFIKA,[i2auto]OPțIUNI GRAFICE,[i2auto]ВАРИАНТИ ГРАФИКИ,[i2auto]กราฟิกตัวเลือก,[i2auto]GRAFICKÝCH KARET,[i2auto]ВАРІАНТИ ГРАФІКА
AUDIO OPTIONS,Text,,AUDIO OPTIONS,ЗВУК И МУЗЫКА,AUDIO-OPTIONEN,音频选项,音頻選項,OPTIONS AUDIO,OPÇÕES DE ÁUDIO,오디오 옵션,オーディオオプション,OPZIONI AUDIO,SES SEÇENEKLERI,خيارات الصوت,LJUDALTERNATIV,LYD ALTERNATIVER,LYDINDSTILLINGER,OPCJE DŹWIĘKU,OPCIONES DE AUDIO,ÄÄNIASETUKSET,AUDIO-OPTIES,OPÇÕES DE ÁUDIO,[i2auto]ΕΠΙΛΟΓΈΣ ΉΧΟΥ,[i2auto]OPTIONS HANG,[i2auto]OPțIUNILE DE SUNET,[i2auto]ЗВУКОВИ ОПЦИИ,[i2auto]ตัวเลือกเสียง,[i2auto]VOLBY ZVUK,[i2auto]ВАРІАНТИ ЗВУК
GAME & INPUT OPTIONS,Text,,GAME & INPUT OPTIONS,Настройки Игры,SPIEL UND EINGABEOPTIONEN,其他选项,其他選項,OPTIONS COMMANDES & JEU,OPÇÕES ADICIONAIS,추가 옵션,追加オプション,OPZIONI AGGIUNTIVE,EKSTRA SEÇENEKLER,خيارات اضافية,YTTERLIGARE ALTERNATIV,FLERE ALTERNATIVER,EKSTRA MULIGHEDER,DODATKOWE OPCJE,OPCIONES ADICIONALES,LISÄVAIHTOEHTOJA,EXTRA OPTIES,OPÇÕES DE JOGO,[i2auto]ΠΑΙΧΝΊΔΙ,[i2auto]JÁTÉK,[i2auto]JOC,[i2auto]ИГРА,[i2auto]เกม,[i2auto]HRA,[i2auto]ГРА
SHOW CONTROLS HELP,Text,,SHOW CONTROLS HELP,Показать Клавиши Управления,ZEIGE STEUERUNGS HILFE,节目管理会,節目管理會,AFFICHER LES AIDES DE CONTRôLE,MOSTRAR AJUDA DE CONTROLOS,쇼 관리 것,ショー管理意志,SPETTACOLO DI GESTIONE,KONTROLLER YARDıMıNı GöSTER,عرض الإدارة سوف,SHOW FÖRVALTNING KOMMER,UTSTILLINGS VIL,SHOW LEDELSE VIL,POKAż KLAWISZE,MOSTRAR CONTROLES,NÄYTÄ JOHTO,TOON CONTROLE HULP,MOSTRAR AJUDA DE CONTROLOS,[i2auto]ΈΛΕΓΧΟΙ ΔΕΊΧΝΟΥΝ ΒΟΗΘΉΣΕΙ,[i2auto]"ELLENŐRZÉSEK AZT MUTATJÁK, SEGÍTSÉG",[i2auto]CONTROALELE ARATĂ AJUTOR,[i2auto]КОНТРОЛИ ПОКАЗВАТ ПОМОЩ,[i2auto]ควบคุมการแสดงความช่วยเหลือ,[i2auto]OVLÁDÁNÍ SIGNALIZUJE POMOC,[i2auto]УПРАВЛІННЯ ПОКАЗУЮТЬ ДОПОМОГУ
INVERT LOOK Y AXIS,Text,,INVERT LOOK Y AXIS,ИНВЕРТИРОВАТЬ ОСЬ Y,Y-ACHSE INVERTIEREN,反转一览,縱向反轉,INVERSER L'AXE Y,INVERTER EIXO Y DO OLHAR,반전 한눈에,反転一目,SGUARDO INVERTITO,BAKışı TERS çEVIR,وهلة المقلوب,INVERTSOCKER ÖVERBLICK,INVERT BLIKK,INVERTSUKKER BLIK,ODWRóć Oś Y,VISTA INVERTIDA,INVERTTISOKERI SILMÄYKSELLÄ,OMDRAAIEN VAN DE Y AXIS,INVERTER EIXO Y DO OLHAR,[i2auto]ΆΞΟΝΑ ΜΑΤΙΆ Y ΙΜΒΕΡΤΟΠΟΙΗΜΈΝΟ,[i2auto]NÉZD Y TENGELY INVERT,[i2auto]UITE Y AXA INVERTIT,[i2auto]ПОГЛЕДНЕТЕ У ОС ИНВЕРТНА,[i2auto]มองกลับแกน Y,[i2auto]VYPADAT OSA Y INVERZE,[i2auto]ДИВІТЬСЯ ВІСЬ Y ИНВЕРТИРОВАТЬ
ALLOW GAMEPAD VIBRATION,Text,,ALLOW GAMEPAD VIBRATION,ВКЛ. ВИБРАЦИЮ,ERLAUBE GAMEPAD VIBRATION,让手柄的振动,讓手柄的振動,PERMETTRE LES VIBRATIONS DE LA MANETTE,VIBRAÇÃO DO CONTROLE ATIVA,게임 패드 진동을 허용,ゲームパッドの振動を許可,CONSENTIRE VIBRAZIONI GAMEPAD,GAMEPAD TITREşIMLERINE IZIN VER,السماح غمبد الاهتزاز,TILLÅT GAMEPAD VIBRATIONER,TILLATE GAMEPAD VIBRASJON,TILLADE GAMEPAD VIBRATIONER,POZWóL NA WIBRACJE KONTROLERA,PERMITIR VIBRACIóN DEL GAMEPAD,SALLI PELIOHJAIMEN TäRINä,GAMEPAD TRILLINGEN TOESTAAN,PERMITIR VIBRAÇÃO DO GAMEPAD,[i2auto]ΕΠΙΤΡΈΠΟΥΝ ΔΌΝΗΣΗ GAMEPAD,[i2auto]LEHETŐVÉ GAMEPAD VIBRÁCIÓS,[i2auto]PERMIT VIBRAțII GAMEPAD,[i2auto]ПОЗВОЛИ ГЕЙМПАД ВИБРАЦИИ,[i2auto]ช่วยให้การสั่นสะเทือน GAMEPAD,[i2auto]DOVOLIT GAMEPAD VIBRACÍ,[i2auto]ДОЗВОЛЯЮТЬ ГЕЙМПАД ВІБРАЦІЇ
ALWAYS SHOW CROSSHAIR,Text,,ALWAYS SHOW CROSSHAIR,ВСЕГДА ПОКАЗЫВАТЬ ПЕРЕКРЕСТИЕ,FADENKREUZ IMMER ZEIGEN,总是显示一个十字线,總是顯示一個十字線,TOUJOURS MONTRER LE RéTICULE,SEMPRE MOSTRAR UMA MIRA,항상 십자선을 표시,常に十字線を表示,MOSTRANO SEMPRE UN MIRINO,HER ZAMAN NIşAN GöSTERGESINI GöSTER,تظهر دائما التقاطع,ALLTID VISAR ETT HÅRKORS,ALLTID VISE ET TRÅDKORS,VISER ALTID EN TRÅDKORS,ZAWSZE POKAZUJ CELOWNIK,SIMPRE MOSTRAR UN PUNTO DE MIRA,AINA NÄYTTÄÄ RISTIKKO,ALTIJD MIKPUNT LATEN ZIEN,MOSTRAR SEMPRE MIRA,[i2auto]ΔΕΊΧΝΟΥΝ ΠΆΝΤΑ ΣΤΑΥΡΌΝΗΜΑ,[i2auto]MINDIG AZT MUTATJÁK CÉLKERESZTET,[i2auto]ARATĂ ÎNTOTDEAUNA CURSORUL,[i2auto]ВИНАГИ ПОКАЖЕ МЕРНИКА,[i2auto]เคยแสดงกากบาท,[i2auto]VŽDY ZOBRAZIT ZAMĚŘOVAČE,[i2auto]ЗАВЖДИ ПОКАЗУВАТИ ПЕРЕХРЕСТЯ
INPUT REMAPPING,Text,,INPUT REMAPPING,Перенастроить Клавиши,TASTENBELEGUNG ÄNDERN,输入重定向,輸入重定向,CONFIGURATION DES TOUCHES,CONFIGURAÇÕES DE ENTRADA,입력 리디렉션,入力のリダイレクト,REDIREZIONE DELL'INPUT,GIRIŞ YÖNLENDIRME,مدخلات إعادة توجيه,INGÅNGS OMDIRIGERING,INNGANG OMDIRIGERING,INPUT OMDIRIGERING,ZMIANA KLAWISZY,CAMBIAR CONTROLES,TULO UUDELLEENOHJAUS,TOETSEN HERLEIDEN,ALTERAÇÃO DE CONTROLOS,[i2auto]ΑΝΤΙΣΤΟΊΧΙΣΗ ΕΙΣΌΔΟΥ,[i2auto]INPUT MEGFELELŐ,[i2auto]POTRIVIRE DE INTRARE,[i2auto]ВХОД ЗА СЪВПАДЕНИЕ,[i2auto]การจับคู่การป้อนข้อมูล,[i2auto]VSTUP VYHOVUJÍCÍ,[i2auto]ВІДПОВІДНИЙ ВХІД
