Key,Type,Desc,English,Russian,German,Chinese (Simplified),Chinese (Traditional),French,Portuguese (Brazil),Korean,Japanese,Italian,Turkish,Arabic,Swedish,Norwegian,Danish,Polish,Spanish,Finnish,Dutch (Netherlands),Portuguese,Greek,Hungarian,Romanian,Bulgariaa,Thai,Czech,Ukrainian
OPTIONS,Text,,OPTIONS,НАСТРОЙКИ,EINSTELLUNGEN,选项,選項,OPTIONS,OPÇÕES,옵션,オプション,OPZIONI,SEÇENEKLER,خيارات,INSTäLLNINGAR,INNSTILLINGER,INDSTILLINGER,OPCJE,OPCIONES,ASETUKSET,OPTIES,OPÇÕES,ΕΠΙΛΟΓΈΣ,OPCIÓK,OPTIUNI,ВАРИАНТИ,ตัวเลือก,VOLBY,ВАРІАНТИ
CLOSE,Text,,CLOSE,ЗАКРЫТЬ,SCHLIESSEN,关闭,關閉,FERMER,FECHAR,닫기,閉じる,CHIUDI,KAPAT,أغلق,STäNG,LUKK,LUK,ZAMKNIJ,CERRAR,SULJE,SLUITEN,FECHAR,ΚΟΝΤΆ,BEZÁR,ÎNCHIDE,БЛИЗО,ใกล้,ZAVŘÍT,БЛИЗЬКО
GRAPHICS OPTIONS,Text,,GRAPHICS OPTIONS,НАСТРОЙКА ГРАФИКИ,GRAFIKEINSTELLUNGEN,图形选项,圖形選項,PARAMÈTRE GRAPHIQUE,OPÇOES DE VIDEO,그래픽 옵션,グラフィックスオプション,OPZIONI GRAFICHE,GRAFIK AYARLARI,خيارات الرسومات,GRAFIKALTERNATIV,GRAFIKK ALTERNATIVER,GRAFISKE INDSTILLINGER,OPCJE GRAFIKI,OPCIONES DE GRAFICOS,GRAFIIKKA-ASETUKSET,GRAFISCHE OPTIES,OPÇÕES DE GRÁFICOS,ΕΠΙΛΟΓΈΣ ΓΡΑΦΙΚΏΝ,GRAFIKAI BEÁLLÍTÁSOK,OPțIUNI GRAFICE,ВАРИАНТИ ГРАФИКИ,กราฟิกตัวเลือก,NASTAVENÍ GRAFIKY,ВАРІАНТИ ГРАФІКА
AUDIO OPTIONS,Text,,AUDIO OPTIONS,НАСТРОЙКИ ЗВУКА,AUDIO OPTIONEN,音频选项,音頻選項,OPTIONS AUDIO,OPÇÕES DE ÁUDIO,오디오 옵션,オーディオオプション,OPZIONI AUDIO,SES AYARLARI,خيارات الصوت,LJUDALTERNATIV,LYD ALTERNATIVER,LYD,OPCJE DŹWIĘKU,OPCIONES DE AUDIO,ÄÄNIASETUKSET,AUDIO-OPTIES,OPÇÕES DE ÁUDIO,ΕΠΙΛΟΓΈΣ ΉΧΟΥ,HANG BEáLLíTáSOK,OPțIUNILE DE SUNET,ЗВУКОВИ ОПЦИИ,ตัวเลือกเสียง,VOLBY ZVUK,ВАРІАНТИ ЗВУК
GAME & INPUT OPTIONS,Text,,GAME & INPUT OPTIONS,Настройки Игры,SPIEL & EINGABEOPTIONEN,游戏与输入选项,其他選項,OPTIONS COMMANDES & JEU,OPÇÕES ADICIONAIS,추가 옵션,追加オプション,CONTROLLI E OPZIONI DI GIOCO,OYUN VE KONTROL SEÇENEKLERİ,خيارات اضافية,SPEL- & KONTROLLSALTERNATIV,FLERE ALTERNATIVER,SPIL OG INPUT INDSTILLINGER,OPCJE GRY I KLAWIATURY,OPCIONES ADICIONALES,PELIASETUKSET,EXTRA OPTIES,OPÇÕES DE JOGO E CONTROLE,ΠΑΙΧΝΊΔΙ,JáTéK éS VEZéRLéSI BEáLLíTáSOK,JOC,ИГРА,เกม,HRA,ГРА
SHOW CONTROLS HELP,Text,,SHOW CONTROLS HELP,Показать Клавиши Управления,STEUERUNGSHILFEN ANZEIGEN,显示操控帮助,顯示控制幫助,AFFICHER LES AIDES DE CONTRôLE,MOSTRAR AJUDA DE CONTROLES,쇼 관리 것,コントロールヘルプ表示,MOSTRA I CONTROLLI,KONTROL YARDIM GÖSTER,عرض الإدارة سوف,VISA KONTROLLHJÄLP,UTSTILLINGS VIL,STYRINGS HJæLP,POKAż KLAWISZE,MOSTRAR CONTROLES,NÄYTÄ OHJAIN OHJE,TOON CONTROLE HULP,MOSTRAR AJUDA DE CONTROLOS,ΈΛΕΓΧΟΙ ΔΕΊΧΝΟΥΝ ΒΟΗΘΉΣΕΙ,AZ IRáNYíTáS SEGíTő MUTATáSA,SEGÍTSÉG,CONTROALELE ARATĂ AJUTOR,КОНТРОЛИ ПОКАЗВАТ ПОМОЩ,ควบคุมการแสดงความช่วยเหลือ,OVLÁDÁNÍ SIGNALIZUJE POMOC
INVERT LOOK Y AXIS,Text,,INVERT LOOK Y AXIS,ИНВЕРТИРОВАТЬ ОСЬ Y,Y-ACHSE UMKEHREN,反转Y轴,縱向反轉,INVERSER L'AXE Y,INVERTER EIXO Y DA CÂMERA,반전 한눈에,Y軸反転,INVERTI Y AXIS,BAKışı TERS çEVIR,وهلة المقلوب,INVERTERA Y-TITTAXEL,INVERT BLIKK,INVERT INDSTILLINGER,ODWRóć Oś Y,VISTA INVERTIDA,INVERTOI KAMERAN Y AKSELI,OMDRAAIEN VAN DE Y AXIS,INVERTER EIXO Y DO OLHAR,ΆΞΟΝΑ ΜΑΤΙΆ Y ΙΜΒΕΡΤΟΠΟΙΗΜΈΝΟ,NÉZD Y TENGELY INVERT,UITE Y AXA INVERTIT,ПОГЛЕДНЕТЕ У ОС ИНВЕРТНА,มองกลับแกน Y,VYPADAT OSA Y INVERZE,ДИВІТЬСЯ ВІСЬ Y ИНВЕРТИРОВАТЬ
ALLOW GAMEPAD VIBRATION,Text,,ALLOW GAMEPAD VIBRATION,ВКЛ. ВИБРАЦИЮ,ERLAUBE GAMEPAD VIBRATION,允许手柄振动,允許手柄振動,PERMETTRE LES VIBRATIONS DE LA MANETTE,PERMITIR VIBRAÇÃO DO CONTROLE,게임 패드 진동을 허용,ゲームパッドの振動を許可,CONSENTIRE VIBRAZIONI GAMEPAD,GAMEPAD TİTREŞİM AÇIK,السماح غمبد الاهتزاز,TILLÅT KONTROLLVIBRATIONER,TILLATE GAMEPAD VIBRASJON,TILLAD GAMEPAD VIBRATION,POZWóL NA WIBRACJE KONTROLERA,PERMITIR VIBRACIóN DEL GAMEPAD,SALLI PELIOHJAIMEN TäRINä,GAMEPAD TRILLINGEN TOESTAAN,PERMITIR VIBRAÇÃO DO GAMEPAD,ΕΠΙΤΡΈΠΟΥΝ ΔΌΝΗΣΗ GAMEPAD,GAMEPAD VIBRáCIó ENGEDéLYEZéSE,PERMIT VIBRAțII GAMEPAD,ПОЗВОЛИ ГЕЙМПАД ВИБРАЦИИ,ช่วยให้การสั่นสะเทือน GAMEPAD,DOVOLIT GAMEPAD VIBRACÍ,ДОЗВОЛЯЮТЬ ГЕЙМПАД ВІБРАЦІЇ
ALWAYS SHOW CROSSHAIR,Text,,ALWAYS SHOW CROSSHAIR,ВСЕГДА ПОКАЗЫВАТЬ ПРИЦЕЛ,FADENKREUZ IMMER ZEIGEN,总是显示准星,總是顯示準星,TOUJOURS MONTRER LE RéTICULE,SEMPRE MOSTRAR UMA MIRA,항상 십자선을 표시,常に照準を表示,MIRINO SEMPRE VISIBILE,HER ZAMAN NİŞAN GÖSTER,تظهر دائما التقاطع,VISAR ALLTID ETT HÅRKORS,ALLTID VISE ET TRÅDKORS,VIS ALTID TRÅDKORS,ZAWSZE POKAZUJ CELOWNIK,SIMPRE MOSTRAR UN PUNTO DE MIRA,NÄYTÄ TÄHTÄIN,ALTIJD MIKPUNT LATEN ZIEN,MOSTRAR SEMPRE MIRA,ΔΕΊΧΝΟΥΝ ΠΆΝΤΑ ΣΤΑΥΡΌΝΗΜΑ,CéLKERESZT FOLYTONOS MUTATáSA,ARATĂ ÎNTOTDEAUNA CURSORUL,ВИНАГИ ПОКАЖЕ МЕРНИКА,เคยแสดงกากบาท,VŽDY ZOBRAZIT ZAMĚŘOVAČE,ЗАВЖДИ ПОКАЗУВАТИ ПЕРЕХРЕСТЯ
INPUT REMAPPING,Text,,INPUT REMAPPING,Перенастроить Клавиши,TASTENBELEGUNG ÄNDERN,修改键位绑定,輸入重定向,CONFIGURATION DES TOUCHES,CONFIGURAÇÕES DE ENTRADA,입력 리디렉션,操作キー変更,REDIREZIONE DEGL' IMPUT,KONTROLLERİ DEĞİŞTİR,مدخلات إعادة توجيه,INGÅNGS OMDIRIGERING,INNGANG OMDIRIGERING,INPUT GENAFBILDNING,ZMIANA KLAWISZY,CAMBIAR CONTROLES,VAIHDA NÄPPÄIMIÄ,TOETSEN HERLEIDEN,ALTERAÇÃO DE CONTROLOS,ΑΝΤΙΣΤΟΊΧΙΣΗ ΕΙΣΌΔΟΥ,INPUT MEGFELELŐ,POTRIVIRE DE INTRARE,ВХОД ЗА СЪВПАДЕНИЕ,การจับคู่การป้อนข้อมูล,VSTUP VYHOVUJÍCÍ,ВІДПОВІДНИЙ ВХІД
